PowerPeriod,PowerDate,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,gold
1,1/8/2017,5,10,14,23,24,38,35
2,3/8/2017,4,9,24,25,27,45,40
3,5/8/2017,1,5,11,32,40,45,43
4,8/8/2017,19,36,39,41,46,51,38
5,10/8/2017,10,11,19,41,50,54,3
6,12/8/2017,6,16,20,32,38,51,34
7,15/08/2017,7,11,19,32,33,51,30
8,17/08/2017,11,12,20,30,32,34,53
9,19/08/2017,7,11,13,15,26,51,36
10,22/08/2017,10,24,31,32,38,44,14
11,24/08/2017,5,16,18,37,42,46,10
12,26/08/2017,17,25,30,31,36,41,20
13,29/08/2017,4,12,15,23,24,41,44
14,31/08/2017,8,20,27,35,36,47,18
15,2/9/2017,5,9,11,18,19,37,50
16,5/9/2017,1,2,8,13,23,39,9
17,7/9/2017,4,18,22,31,32,40,8
18,9/9/2017,1,15,23,36,43,54,12
19,12/9/2017,6,10,12,47,48,51,35
20,14/09/2017,22,23,32,43,44,51,15
21,16/09/2017,9,12,21,26,29,52,24
22,19/09/2017,3,32,36,41,44,53,45
23,21/09/2017,9,12,16,24,43,51,39
24,23/09/2017,7,8,27,36,44,53,49
25,26/09/2017,14,15,18,30,36,49,19
26,28/09/2017,20,27,28,31,39,47,10
27,30/09/2017,4,17,23,25,34,46,24
28,3/10/2017,21,31,35,41,46,50,23
29,5/10/2017,1,3,14,19,35,41,20
30,7/10/2017,31,34,40,42,43,49,16
31,10/10/2017,29,33,43,44,45,50,41
32,12/10/2017,5,8,11,31,37,42,52
33,14/10/2017,14,18,29,35,44,49,54
34,17/10/2017,1,26,36,40,50,54,31
35,19/10/2017,6,15,17,24,40,45,39
36,21/10/2017,4,9,13,16,18,49,30
37,24/10/2017,1,2,9,13,32,35,52
38,26/10/2017,2,10,15,30,34,50,3
39,28/10/2017,13,18,35,36,41,48,47
40,31/10/2017,7,13,24,45,47,52,33
41,2/11/2017,3,9,12,21,51,52,7
42,4/11/2017,2,8,12,44,46,52,9
43,7/11/2017,19,32,36,37,42,54,28
44,9/11/2017,2,3,6,23,34,36,50
45,11/11/2017,12,26,33,35,36,44,1
46,14/11/2017,20,24,29,41,47,49,22
47,16/11/2017,1,16,22,25,47,48,21
48,18/11/2017,11,12,26,42,50,54,17
49,21/11/2017,5,8,23,37,38,54,55
50,23/11/2017,1,2,3,18,25,50,14
51,25/11/2017,2,9,16,46,52,55,50
52,28/11/2017,2,19,39,49,51,53,20
53,30/11/2017,5,13,26,37,53,55,28
54,2/12/2017,9,37,45,50,53,54,40
55,5/12/2017,27,38,40,42,46,55,5
56,7/12/2017,3,14,26,35,44,54,25
57,9/12/2017,5,34,35,42,49,52,21
58,12/12/2017,6,7,8,21,32,39,27
59,14/12/2017,11,12,22,28,46,50,7
60,16/12/2017,5,23,37,41,43,53,25
61,19/12/2017,2,3,20,25,38,44,12
62,21/12/2017,22,23,27,35,37,46,19
63,23/12/2017,7,8,9,13,28,44,12
64,26/12/2017,7,11,13,18,26,42,49
65,28/12/2017,7,18,26,29,31,35,34
66,30/12/2017,8,9,36,37,39,50,7
67,2/1/2018,4,7,8,34,37,47,24
68,4/1/2018,1,7,31,35,46,55,51
69,6/1/2018,4,11,24,35,41,45,17
70,9/1/2018,18,25,28,46,50,51,15
71,11/1/2018,4,7,30,35,37,45,1
72,13/01/2018,3,21,25,26,51,55,37
73,16/01/2018,6,27,33,41,42,49,22
74,18/01/2018,12,24,28,30,36,39,15
75,20/01/2018,2,7,15,16,41,45,19
76,23/01/2018,3,10,15,23,41,53,35
77,25/01/2018,1,10,30,44,45,50,4
78,27/01/2018,21,26,36,38,40,50,11
79,30/01/2018,15,19,24,51,53,55,29
80,1/2/2018,1,7,8,9,39,43,52
81,3/2/2018,12,29,42,48,54,55,18
82,6/2/2018,1,20,29,31,43,53,16
83,8/2/2018,21,22,29,37,41,50,33
84,10/2/2018,8,10,19,25,36,46,7
85,13/02/2018,9,25,26,30,42,54,19
86,17/02/2018,16,22,28,29,35,43,45
87,20/02/2018,1,2,21,24,50,52,33
88,22/02/2018,11,14,32,36,42,48,20
89,24/02/2018,5,7,24,32,45,49,1
90,27/02/2018,8,16,23,28,44,49,45
91,1/3/2018,4,5,7,17,20,38,9
92,3/3/2018,4,10,32,37,47,52,49
93,6/3/2018,2,6,13,22,40,48,12
94,8/3/2018,14,17,18,23,41,52,40
95,10/3/2018,9,20,27,31,48,49,42
96,13/03/2018,1,2,17,46,47,49,44
97,15/03/2018,15,20,23,28,39,49,19
98,17/03/2018,3,14,28,35,50,52,29
99,20/03/2018,11,40,43,46,49,55,37
100,22/03/2018,1,8,24,33,34,41,20
101,24/03/2018,1,30,38,45,48,50,12
102,27/03/2018,9,13,14,15,54,55,22
103,29/03/2018,5,27,35,39,46,52,31
104,31/03/2018,3,7,31,43,51,53,26
105,3/4/2018,20,21,39,42,51,53,1
106,5/4/2018,7,9,17,25,31,32,6
107,7/4/2018,12,24,33,34,36,53,5
108,10/4/2018,1,22,25,31,36,48,41
109,12/4/2018,4,29,35,37,42,54,19
110,14/04/2018,2,10,14,26,45,54,20
111,17/04/2018,2,10,26,27,31,38,39
112,19/04/2018,4,17,19,35,49,55,9
