Date,N1,N2,N3,N4,N5,FireBall
1/2/2024,4,11,12,25,30,8
1/5/2024,1,4,7,10,22,10
1/9/2024,8,11,17,20,22,7
1/12/2024,10,12,13,17,21,3
1/16/2024,1,7,13,15,21,4
1/19/2024,16,18,25,33,34,7
1/23/2024,11,14,18,22,34,7
1/26/2024,1,2,20,22,34,8
1/30/2024,2,5,15,18,32,5
2/2/2024,20,26,28,30,35,2
2/6/2024,3,16,26,28,30,8
2/9/2024,7,11,14,16,28,3
2/13/2024,1,8,17,27,34,3
2/16/2024,4,11,16,20,33,6
2/20/2024,2,3,4,11,31,7
2/23/2024,9,14,16,25,33,1
2/27/2024,3,14,25,26,32,6
3/1/2024,4,9,12,22,27,8
3/5/2024,20,21,23,34,35,9
3/8/2024,10,18,21,28,32,10
3/12/2024,4,8,9,15,30,2
3/15/2024,15,16,17,18,23,2
3/19/2024,15,24,29,31,35,7
3/22/2024,7,10,12,23,30,5
3/26/2024,2,7,8,18,21,2
4/2/2024,1,10,14,16,33,5
4/5/2024,3,17,19,25,31,5
4/9/2024,3,7,10,22,23,8
4/12/2024,7,10,25,33,34,5
4/16/2024,1,5,15,20,21,5
4/19/2024,1,19,23,25,26,8
4/23/2024,2,17,26,32,33,9
4/26/2024,17,20,24,25,32,9
4/30/2024,4,6,8,27,31,8
5/3/2024,8,16,17,19,31,3
5/7/2024,4,10,11,25,35,1
5/10/2024,4,14,15,17,22,10
5/14/2024,7,8,14,15,25,10
5/17/2024,7,8,11,19,24,7
5/21/2024,3,17,21,25,30,10
5/24/2024,4,6,9,12,27,7
5/28/2024,1,2,16,20,29,10
5/31/2024,2,8,9,15,20,1
6/4/2024,11,16,17,18,31,3
6/7/2024,3,13,16,23,29,9
6/11/2024,8,15,19,25,28,1
6/14/2024,12,13,18,21,31,6
6/18/2024,4,11,18,25,27,10
6/21/2024,1,8,17,26,28,7
6/25/2024,4,10,20,31,35,7
6/28/2024,6,15,22,31,32,6
7/2/2024,3,8,9,15,34,9
7/5/2024,4,6,15,19,26,1
7/9/2024,9,16,22,23,34,9
7/12/2024,3,11,25,27,34,5
7/16/2024,10,20,25,26,31,2
7/19/2024,2,3,12,20,29,5
7/23/2024,11,18,21,26,35,7
7/26/2024,4,10,18,22,24,6
7/30/2024,1,6,10,25,27,7
8/2/2024,11,18,28,31,33,10
8/6/2024,4,11,16,18,33,4
8/9/2024,10,20,26,29,32,5
8/13/2024,2,8,16,32,33,10
8/16/2024,11,23,24,25,30,6
8/20/2024,11,12,23,32,35,3
8/23/2024,6,10,15,23,28,1
8/27/2024,9,10,22,29,34,2
8/30/2024,2,10,12,28,35,4
9/3/2024,12,15,19,20,30,8
9/6/2024,1,19,21,27,29,1
9/10/2024,12,16,17,18,30,8
9/13/2024,1,14,26,28,34,2
9/17/2024,1,6,13,19,32,8
9/20/2024,4,8,15,19,21,9
9/24/2024,5,8,11,23,30,6
9/27/2024,10,13,22,29,33,3
10/1/2024,8,9,15,19,20,2
10/4/2024,10,12,13,15,16,9
10/8/2024,8,17,18,30,33,8
10/11/2024,1,11,17,23,31,7
10/15/2024,1,5,7,26,34,10
10/18/2024,3,11,12,24,25,8
10/22/2024,16,20,21,25,30,2
10/25/2024,5,6,12,14,27,10
10/29/2024,2,5,11,17,33,5
11/1/2024,2,5,7,8,18,7
11/5/2024,11,16,19,23,27,4
11/8/2024,1,9,10,12,32,9
11/12/2024,2,11,27,29,33,7
11/15/2024,4,8,14,18,26,2
11/19/2024,7,22,23,30,31,4
11/22/2024,11,19,24,25,33,5
11/26/2024,6,13,18,19,30,4
11/29/2024,4,7,25,28,35,10
12/3/2024,3,4,24,27,32,6
12/6/2024,4,14,16,26,28,9
12/10/2024,1,2,15,24,29,7
12/13/2024,6,29,30,34,35,4
12/17/2024,7,20,24,29,33,4
12/20/2024,2,24,25,26,28,3
12/24/2024,7,11,15,26,32,4
12/27/2024,7,13,14,20,28,5
12/31/2024,8,11,12,18,32,10
