Date,N1,N2,N3,N4,N5,FireBall
03.08.2018,11,15,24,28,30,8
31.07.2018,13,19,25,27,28,5
27.07.2018,2,11,23,28,30,9
24.07.2018,1,2,4,26,27,10
20.07.2018,5,13,22,23,25,2
17.07.2018,2,4,8,9,19,6
13.07.2018,24,25,29,30,34,1
10.07.2018,10,13,16,22,29,1
06.07.2018,8,20,24,28,34,9
03.07.2018,3,9,15,16,31,4
29.06.2018,1,7,19,22,30,6
26.06.2018,10,13,18,22,28,6
22.06.2018,11,14,29,33,35,6
19.06.2018,1,8,17,21,22,1
15.06.2018,2,6,20,25,32,6
12.06.2018,8,9,12,32,33,10
08.06.2018,5,10,18,22,28,7
05.06.2018,1,13,23,29,30,9
01.06.2018,3,5,14,25,26,2
29.05.2018,1,16,24,29,31,8
25.05.2018,8,13,19,20,22,9
22.05.2018,12,16,20,25,34,3
18.05.2018,14,17,22,25,35,6
15.05.2018,1,4,9,13,25,10
11.05.2018,6,11,19,26,31,10
08.05.2018,18,23,25,33,35,5
04.05.2018,21,27,28,29,34,6
01.05.2018,4,19,20,23,35,2
27.04.2018,2,7,10,21,34,9
24.04.2018,1,14,19,28,30,6
20.04.2018,5,6,17,22,29,8
17.04.2018,2,4,7,14,27,8
13.04.2018,9,15,20,21,35,6
10.04.2018,2,4,26,29,30,2
06.04.2018,10,15,20,29,32,4
03.04.2018,3,8,17,19,23,8
27.03.2018,8,30,31,32,33,3
23.03.2018,5,6,22,25,31,6
20.03.2018,14,21,25,26,33,8
16.03.2018,5,9,14,20,32,4
13.03.2018,8,9,15,26,34,3
09.03.2018,12,17,22,25,28,3
06.03.2018,6,14,20,21,33,5
02.03.2018,8,9,20,30,35,1
27.02.2018,7,14,17,26,27,9
23.02.2018,3,18,20,24,31,5
20.02.2018,3,6,15,16,28,6
16.02.2018,3,16,19,31,34,7
13.02.2018,4,5,13,24,31,9
09.02.2018,12,14,21,22,32,7
06.02.2018,7,10,24,25,32,6
02.02.2018,6,18,25,26,33,1
30.01.2018,4,8,13,17,23,1
26.01.2018,1,4,12,20,29,7
23.01.2018,7,16,23,25,35,6
19.01.2018,9,25,26,29,33,7
16.01.2018,11,18,23,33,34,6
12.01.2018,10,19,21,33,34,1
09.01.2018,14,18,22,23,31,6
05.01.2018,16,22,29,31,33,10
02.01.2018,21,24,27,30,31,6
29.12.2017,1,14,15,20,27,7
26.12.2017,1,9,10,11,15,8
22.12.2017,2,9,27,31,35,1
19.12.2017,7,13,18,22,33,2
15.12.2017,7,15,17,27,33,7
12.12.2017,14,17,18,26,35,9
08.12.2017,7,11,29,30,31,3
05.12.2017,15,16,28,33,35,1
01.12.2017,2,5,7,25,27,2
28.11.2017,4,5,7,8,13,2
24.11.2017,2,10,19,25,28,9
21.11.2017,2,4,11,30,31,1
17.11.2017,1,2,7,13,32,9
14.11.2017,10,12,17,20,26,7
10.11.2017,11,21,23,28,29,7
07.11.2017,1,4,23,26,31,3
03.11.2017,1,2,3,22,26,2
31.10.2017,4,12,24,29,32,7
27.10.2017,1,4,5,23,30,7
24.10.2017,9,15,28,29,35,7
20.10.2017,15,19,23,26,35,7
17.10.2017,16,21,27,29,34,4
13.10.2017,2,3,5,13,28,8
10.10.2017,4,24,25,27,34,10
06.10.2017,1,11,12,27,35,5
03.10.2017,3,10,11,14,25,6
29.09.2017,15,16,24,32,34,9
26.09.2017,1,18,21,26,35,3
22.09.2017,3,9,13,17,23,4
19.09.2017,12,13,19,25,32,9
15.09.2017,5,14,19,26,34,6
12.09.2017,2,15,20,24,28,4
08.09.2017,4,7,9,14,15,8
05.09.2017,5,10,12,23,35,10
01.09.2017,13,14,15,26,28,6
29.08.2017,17,18,22,25,28,9
