Date,N1,N2,N3,N4,N5,FireBall
2012-07-27,3,7,17,26,31,4
2012-07-31,7,12,13,15,21,8
2012-08-03,3,4,9,12,15,5
2012-08-07,7,8,24,27,35,7
2012-08-10,1,5,10,18,35,8
2012-08-14,1,8,11,27,30,1
2012-08-17,9,16,22,32,35,3
2012-08-21,8,11,23,24,27,5
2012-08-24,10,15,20,22,35,1
2012-08-28,4,22,26,31,34,8
2012-08-31,6,10,11,23,24,6
2012-09-04,9,11,15,18,34,8
2012-09-07,14,16,18,23,33,2
2012-09-11,3,15,29,34,35,1
2012-09-14,5,8,10,23,25,7
2012-09-18,2,13,19,25,34,7
2012-09-21,3,4,12,18,31,2
2012-09-25,4,14,15,24,34,1
2012-09-28,17,22,26,29,35,8
2012-10-02,15,17,24,30,31,3
2012-10-05,5,8,19,21,28,10
2012-10-09,7,13,19,20,24,4
2012-10-12,1,11,19,20,24,3
2012-10-16,8,26,29,31,33,10
2012-10-19,3,6,7,24,29,3
2012-10-23,4,10,15,29,35,4
2012-10-26,2,22,24,29,31,10
2012-10-30,3,7,14,20,31,10
2012-11-02,6,9,22,23,28,1
2012-11-06,7,13,23,33,34,7
2012-11-09,5,19,20,27,28,1
2012-11-13,2,7,11,25,29,5
2012-11-16,6,15,24,25,34,2
2012-11-20,2,7,12,13,21,6
2012-11-23,1,2,26,30,31,9
2012-11-27,1,4,10,18,20,5
2012-11-30,2,3,5,31,32,3
2012-12-04,7,8,9,24,25,8
2012-12-07,7,11,18,25,35,7
2012-12-11,6,19,23,25,31,2
2012-12-14,3,19,20,26,33,8
2012-12-18,3,8,14,22,25,4
2012-12-21,1,4,6,22,25,3
2012-12-28,1,3,5,7,16,10
2013-01-04,5,11,22,26,34,8
2013-01-08,15,20,22,24,33,6
2013-01-11,1,8,17,23,26,3
2013-01-15,10,14,20,32,34,10
2013-01-18,1,4,5,30,31,5
2013-01-22,2,10,25,29,30,4
2013-01-25,6,12,23,27,33,1
2013-01-29,4,15,17,19,25,5
2013-02-01,4,9,11,17,32,7
2013-02-05,5,10,11,24,31,9
2013-02-08,1,8,10,20,22,2
2013-02-12,1,2,13,15,30,2
2013-02-15,3,5,6,14,26,5
2013-02-19,4,11,19,25,27,1
2013-02-22,1,16,23,28,34,8
2013-02-26,2,7,14,19,30,10
2013-03-01,8,19,23,25,33,5
2013-03-05,6,11,32,34,35,2
2013-03-08,6,18,23,29,30,2
2013-03-12,7,12,20,23,34,1
2013-03-15,13,16,17,20,34,7
2013-03-19,3,4,7,23,32,7
2013-03-22,5,10,17,30,34,3
2013-03-26,1,13,14,21,26,1
2013-04-02,8,17,22,23,26,2
2013-04-05,4,6,22,23,26,3
2013-04-09,4,18,29,32,33,6
2013-04-12,12,18,21,22,27,10
2013-04-16,11,21,25,28,35,4
2013-04-19,5,7,26,29,33,3
2013-04-23,4,6,7,22,32,9
2013-04-26,3,20,22,23,27,5
2013-04-30,6,15,23,25,26,7
2013-05-03,9,13,15,27,35,9
2013-05-07,3,13,19,26,28,5
2013-05-10,1,6,11,22,32,10
2013-05-14,1,22,23,26,35,4
2013-05-17,7,15,22,26,33,2
2013-05-21,6,18,19,29,30,1
2013-05-24,7,23,24,27,28,2
2013-05-28,1,4,11,16,30,5
2013-05-31,8,19,32,33,34,5
2013-06-04,5,10,14,18,35,4
2013-06-07,1,3,5,26,35,5
2013-06-11,9,23,24,25,31,2
2013-06-14,2,5,8,22,28,9
2013-06-18,1,2,4,23,25,9
2013-06-21,10,13,19,22,29,5
2013-06-25,2,10,15,16,32,8
2013-06-28,10,13,17,25,33,7
2013-07-02,10,11,25,28,34,1
2013-07-05,3,6,22,23,35,8
2013-07-09,5,9,14,22,30,6
2013-07-12,7,11,25,29,33,5
2013-07-16,4,12,19,21,30,7
2013-07-19,4,22,27,31,33,2
