Date,N1,N2,N3,N4,N5,FireBall
1/3/2023,1,2,10,15,34,5
1/6/2023,8,12,25,28,31,2
1/10/2023,10,19,20,30,35,3
1/13/2023,24,25,27,15,26,10
1/17/2023,3,9,21,23,33,10
1/20/2023,4,6,9,21,31,2
1/24/2023,11,17,13,23,22,7
1/27/2023,10,25,27,28,31,3
1/31/2023,5,6,13,15,19,5
2/3/2023,5,8,11,27,31,7
2/7/2023,5,6,7,21,33,3
2/10/2023,3,6,16,18,22,6
2/14/2023,2,7,21,27,30,10
2/17/2023,2,13,23,29,34,6
2/21/2023,1,7,13,25,32,5
2/24/2023,3,7,16,31,34,2
2/28/2023,3,6,17,23,28,9
3/3/2023,8,15,22,30,35,1
3/7/2023,11,15,22,29,30,10
3/10/2023,1,3,27,28,31,4
3/14/2023,1,8,15,20,34,8
3/17/2023,5,16,23,24,27,2
3/21/2023,5,20,23,24,29,5
3/24/2023,4,11,19,25,32,4
3/28/2023,3,9,17,27,33,4
3/31/2023,5,11,15,16,33,9
4/4/2023,5,19,22,23,33,8
4/11/2023,29,1,30,15,23,1
4/14/2023,19,34,25,24,3,7
4/18/2023,4,8,19,25,28,7
4/21/2023,4,5,20,24,33,1
4/25/2023,34,6,12,3,16,9
4/28/2023,30,3,2,31,19,9
5/2/2023,5,15,19,32,35,2
5/5/2023,11,19,17,34,16,8
5/9/2023,7,34,22,8,24,4
5/12/2023,8,26,28,29,33,10
5/16/2023,15,14,24,28,21,6
5/19/2023,5,13,17,29,35,2
5/23/2023,3,6,12,16,18,10
5/26/2023,8,22,28,31,34,9
5/30/2023,5,14,15,24,28,5
6/2/2023,6,7,11,24,26,10
6/6/2023,2,18,23,25,26,10
6/9/2023,6,18,21,24,29,8
6/13/2023,2,15,23,27,29,3
6/16/2023,3,12,18,30,35,6
6/20/2023,14,20,21,23,26,6
6/23/2023,33,20,34,6,8,3
6/27/2023,1,5,10,30,33,7
6/30/2023,2,3,5,20,22,2
7/4/2023,10,14,15,24,26,3
7/7/2023,18,20,15,35,6,9
7/11/2023,13,19,9,12,30,1
7/14/2023,11,14,26,34,35,4
7/18/2023,9,10,24,26,28,2
7/21/2023,6,10,19,21,28,3
7/25/2023,4,11,19,25,34,1
7/28/2023,24,33,4,9,17,1
8/1/2023,8,22,23,30,34,8
8/4/2023,7,32,33,34,35,3
8/8/2023,5,17,21,25,35,1
8/11/2023,19,28,25,32,4,3
8/15/2023,3,4,5,15,28,1
8/18/2023,2,10,18,19,26,9
8/22/2023,3,7,10,20,35,3
8/25/2023,3,4,26,28,34,6
8/29/2023,2,15,28,29,33,3
9/1/2023,3,4,15,24,31,8
9/5/2023,6,9,12,24,27,1
9/8/2023,8,21,28,31,34,7
9/12/2023,6,7,17,24,25,8
9/15/2023,11,14,16,21,28,3
9/19/2023,10,17,23,28,33,9
9/22/2023,1,18,21,25,26,7
9/26/2023,19,7,13,8,4,6
9/29/2023,1,11,21,28,34,8
10/3/2023,1,2,8,15,27,10
10/6/2023,6,10,26,30,32,2
10/10/2023,4,7,10,13,30,9
10/13/2023,4,6,13,20,32,1
10/17/2023,11,12,20,21,29,5
10/20/2023,1,14,17,25,27,9
10/24/2023,4,20,23,25,29,4
10/27/2023,3,4,5,18,26,9
10/31/2023,4,18,19,24,28,4
11/3/2023,11,22,27,32,33,1
11/7/2023,1,10,23,25,35,7
11/10/2023,9,26,28,30,33,2
11/14/2023,11,17,28,29,35,3
11/17/2023,1,19,21,23,24,6
11/21/2023,7,17,21,24,29,1
11/24/2023,9,19,26,32,34,2
11/28/2023,4,6,7,15,20,1
12/1/2023,6,14,22,30,31,7
12/5/2023,1,8,9,14,21,6
12/8/2023,7,8,11,16,22,3
12/12/2023,13,14,20,24,35,2
12/15/2023,4,23,31,33,34,7
12/19/2023,4,12,16,18,25,10
12/22/2023,9,15,17,19,34,1
12/26/2023,1,3,9,13,18,3
12/29/2023,16,18,21,23,31,8
